"","date","R_med_EpiEstim","R_low_EpiEstim","R_up_EpiEstim","R_med_EpiNow2","R_low_EpiNow2","R_up_EpiNow2"
"1",2020-06-16,1.06378797121362,1.04141619809095,1.08647786857784,1.05319321646153,1.02876565651907,1.07326020443274
"2",2020-06-17,1.05965780275702,1.03730279533525,1.08233171017431,1.05241140169518,1.02668737128962,1.07111694186987
"3",2020-06-19,1.05646045318565,1.03415727928578,1.07908201382376,1.05200883195539,1.02636217179907,1.06867789974403
"4",2020-06-20,1.01967572835557,0.997828962306537,1.04183907160815,1.05103386620213,1.02814120111653,1.07003457000411
"5",2020-06-21,1.04245282985324,1.02030911823417,1.06491463718132,1.04988507265541,1.02653299022844,1.06839121383253
"6",2020-06-22,0.996608757308678,0.975026388181054,1.01850728788339,1.04904477573532,1.02623747640015,1.069025037757
"7",2020-06-23,0.974928384135408,0.953492808496422,0.996682842180795,1.04764514365735,1.026995643353,1.06945506609907
"8",2020-06-24,1.01262027713292,0.990609815408103,1.03495438523319,1.04746482628471,1.02200209490739,1.0646744473602
"9",2020-06-27,1.10154857730269,1.07860375205346,1.12481651802568,1.04405640007963,1.02643794366404,1.06977672819317
"10",2020-06-28,1.06747614751687,1.0452700628797,1.08999453050686,1.04397003804883,1.02249310716562,1.06592285594071
"11",2020-06-30,1.01125004695457,0.98984999959,1.03295633349101,1.04161608840417,1.0224188666863,1.06616363119592
"12",2020-07-01,1.05321507809424,1.03134407926846,1.07539311575679,1.0408816732071,1.02194911930199,1.06640868603955
"13",2020-07-03,1.07147838622506,1.04956848611185,1.09369110104734,1.0392052477328,1.02348986308368,1.06895536182275
"14",2020-07-04,1.08837761223137,1.06652437575153,1.11052734734705,1.03811706520763,1.02101909100673,1.06755652222184
"15",2020-07-05,1.07964711574619,1.0581601554833,1.10142300214377,1.03727694163575,1.01675503476124,1.06519879470988
"16",2020-07-06,0.959707542334698,0.939673871225549,0.980023953523977,1.03665437110289,1.01944709165575,1.067924245294
"17",2020-07-07,0.924736414167482,0.904854225298561,0.944907737587752,1.03675880359343,1.01959486355924,1.06783718127955
"18",2020-07-08,1.0081909438923,0.987087256909596,1.02959330391083,1.03595707786533,1.01809774712188,1.06700517024242
"19",2020-07-09,0.979357713708995,0.958594752081256,1.00041834766273,1.0352330082392,1.01523188266124,1.0638519458152
"20",2020-07-10,0.981114083336983,0.960267158873184,1.00226056496962,1.03338083068932,1.01974517842712,1.06860546899598
"21",2020-07-11,1.001723842243,0.980589802183099,1.02315938272286,1.03262320797493,1.0165360440423,1.06675999764702
"22",2020-07-12,0.994849944709849,0.973806835902316,1.01619404147661,1.03247329737699,1.01868005004636,1.06887691625159
